id:ID	labels:label	type	flags:string[]	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment	export	tainted
0	Filesystem	File									stdin		True	
1	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					1::1:40	1	stdin		True	
2	Artificial	CFG_FUNC_ENTRY					1				stdin		True	
3	Artificial	CFG_FUNC_EXIT					1				stdin		True	
4	AST	AST_STMT_LIST		1		0	1		1::1:40	1			True	
5	AST	AST_ASSIGN		1	main_func=require('./example_1.js')	0	1		1:4:1:39	1			True	
6	AST	AST_VAR	JS_DECL_VAR	1		0	1		1:4:1:13	1			True	
7	AST	string		1	main_func	0	1		1:4:1:13	1	main_func		True	
8	AST	AST_CALL	JS_REQUIRE_EXTERNAL	1	require('./example_1.js')	1	1		1:14:1:39	1	/pppj/src/mutate/staticPlusSymbolic/example_1.js		True	
9	AST	AST_NAME	NAME_NOT_FQ	1		0	1		1:14:1:39	1			True	
10	AST	string		1	require	0	1		1:14:1:21	1			True	
11	AST	AST_ARG_LIST		1	('./example_1.js')	1	1		1:14:1:39	1			True	
12	AST	string		1	./example_1.js	0	1		1:22:1:38	1			True	
13	Filesystem	File									/pppj/src/mutate/staticPlusSymbolic/example_1.js		True	
14	AST	AST_TOPLEVEL	TOPLEVEL_FILE	1					1::31:43	31	/pppj/src/mutate/staticPlusSymbolic/example_1.js		True	
15	Artificial	CFG_FUNC_ENTRY					14				/pppj/src/mutate/staticPlusSymbolic/example_1.js		True	
16	Artificial	CFG_FUNC_EXIT					14				/pppj/src/mutate/staticPlusSymbolic/example_1.js		True	
17	AST	AST_STMT_LIST		1		0	14		1::31:43	31			True	
18	AST	AST_ASSIGN		1	crypto = require('crypto')	0	14		1:6:1:32	1			True	
19	AST	AST_VAR	JS_DECL_CONST	1		0	14		1:6:1:12	1			True	
20	AST	string		1	crypto	0	14		1:6:1:12	1	crypto		True	
21	AST	AST_CALL	JS_REQUIRE_BUILTIN	1	require('crypto')	1	14		1:15:1:32	1	built-in		True	
22	AST	AST_NAME	NAME_NOT_FQ	1		0	14		1:15:1:32	1			True	
23	AST	string		1	require	0	14		1:15:1:22	1			True	
24	AST	AST_ARG_LIST		1	('crypto')	1	14		1:15:1:32	1			True	
25	AST	string		1	crypto	0	14		1:23:1:31	1			True	
26	AST	AST_FUNC_DECL		3	computeComplex	1	14		3::18:1	18			True	
27	Artificial	CFG_FUNC_ENTRY					26						True	
28	Artificial	CFG_FUNC_EXIT					26						True	
29	AST	string		3	computeComplex	0	26		3:9:3:23	3			True	
30	AST	NULL		3		1	26		3::3:				True	
31	AST	AST_PARAM_LIST		3	A, B	2	26		3::18:1	18			True	
32	AST	AST_PARAM		3	A	0	26		3::3:				True	
33	AST	NULL		3	any	0	26		3::3:				True	
34	AST	string		3	A	1	26		3:24:3:25	3			True	
35	AST	NULL		3	any	2	26		3::3:				True	
36	AST	AST_PARAM		3	B	1	26		3::3:				True	
37	AST	NULL		3	any	0	26		3::3:				True	
38	AST	string		3	B	1	26		3:27:3:28	3			True	
39	AST	NULL		3	any	2	26		3::3:				True	
40	AST	AST_STMT_LIST		3		3	26		3:30:18:1	18			True	
41	AST	AST_ASSIGN		4	result = 0	0	26		4:8:4:18	4			True	
42	AST	AST_VAR	JS_DECL_LET	4		0	26		4:8:4:14	4			True	
43	AST	string		4	result	0	26		4:8:4:14	4	result		True	
44	AST	integer		4	0	1	26		4:17:4:18	4			True	
45	AST	AST_IF		5		1	26		5:4:15:5	15			True	
46	AST	AST_IF_ELEM		5		0	26		5:4:15:5	15			True	
47	AST	AST_BINARY_OP		5	A>3	0	26		5:8:5:11	5			True	
48	AST	AST_VAR		5		0	26		5:8:5:9	5			True	
49	AST	string		5	A	0	26		5:8:5:9	5	A		True	
50	AST	integer		5	3	1	26		5:10:5:11	5			True	
51	AST	AST_STMT_LIST		5		1	26		5:13:7:5	7			True	
52	AST	AST_ASSIGN		6	B=B*A	0	26		6:8:6:13	6			True	
53	AST	AST_VAR		6		0	26		6:8:6:9	6			True	
54	AST	string		6	B	0	26		6:8:6:9	6	B		True	
55	AST	AST_BINARY_OP	BINARY_MUL	6	B*A	1	26		6:10:6:13	6			True	
56	AST	AST_VAR		6		0	26		6:10:6:11	6			True	
57	AST	string		6	B	0	26		6:10:6:11	6	B		True	
58	AST	AST_VAR		6		1	26		6:12:6:13	6			True	
59	AST	string		6	A	0	26		6:12:6:13	6	A		True	
60	AST	AST_IF_ELEM		5		1	26		5:4:15:5	15			True	
61	AST	NULL		5		0	26		5::5:				True	
