start:START_ID	end:END_ID	type:TYPE	var	taint_src	taint_dst
0	1	FILE_OF			
1	2	ENTRY			
1	3	EXIT			
1	4	PARENT_OF			
1	1056	CALLS			
4	5	PARENT_OF			
5	6	PARENT_OF			
5	8	PARENT_OF			
5	1061	LOOKUP			
5	18	FLOWS_TO			
5	212	LOOKUP			
5	1426	LOOKUP			
5	1432	LOOKUP			
5	1419	LOOKUP			
5	1419	LOOKUP			
5	408	LOOKUP			
5	1430	LOOKUP			
5	1058	FLOWS_TO			
5	1332	LOOKUP			
5	1332	LOOKUP			
5	1361	LOOKUP			
5	1365	LOOKUP			
6	7	PARENT_OF			
8	9	PARENT_OF			
8	11	PARENT_OF			
9	10	PARENT_OF			
11	12	PARENT_OF			
13	14	FILE_OF			
14	15	ENTRY			
14	16	EXIT			
14	17	PARENT_OF			
14	1056	CALLS			
17	18	PARENT_OF			
17	26	PARENT_OF			
17	101	PARENT_OF			
17	175	PARENT_OF			
18	19	PARENT_OF			
18	21	PARENT_OF			
18	1061	LOOKUP			
18	1058	FLOWS_TO			
18	26	FLOWS_TO			
19	20	PARENT_OF			
21	22	PARENT_OF			
21	24	PARENT_OF			
22	23	PARENT_OF			
24	25	PARENT_OF			
26	27	ENTRY			
26	28	EXIT			
26	29	PARENT_OF			
26	30	PARENT_OF			
26	31	PARENT_OF			
26	40	PARENT_OF			
26	99	PARENT_OF			
26	100	PARENT_OF			
26	101	FLOWS_TO			
26	47	OBJ_REACHES			
26	65	OBJ_REACHES			
26	65	OBJ_REACHES			
26	71	OBJ_REACHES			
26	88	OBJ_REACHES			
28	116	FLOWS_TO			
31	32	PARENT_OF			
31	36	PARENT_OF			
32	33	PARENT_OF			
32	34	PARENT_OF			
32	35	PARENT_OF			
36	37	PARENT_OF			
36	38	PARENT_OF			
36	39	PARENT_OF			
40	41	PARENT_OF			
40	45	PARENT_OF			
40	88	PARENT_OF			
40	96	PARENT_OF			
41	42	PARENT_OF			
41	44	PARENT_OF			
41	45	FLOWS_TO			
42	43	PARENT_OF			
45	46	PARENT_OF			
45	60	PARENT_OF			
45	1440	LOOKUP			
45	52	FLOWS_TO			
45	63	FLOWS_TO			
46	47	PARENT_OF			
46	51	PARENT_OF			
47	48	PARENT_OF			
47	50	PARENT_OF			
48	49	PARENT_OF			
51	52	PARENT_OF			
52	53	PARENT_OF			
52	55	PARENT_OF			
52	1443	LOOKUP			
52	1443	LOOKUP			
53	54	PARENT_OF			
